code,id,name,type
ATK,ATK,,CCG
AVQ,AVQ,,CCG
NV1,NV1,,CCG
12F,12F,NHS WIRRAL,CCG
01H,01H,NHS NORTH CUMBRIA,CCG
04Y,04Y,NHS CANNOCK CHASE,CCG
02H,02H,NHS WIGAN BOROUGH,CCG
14L,14L,NHS MANCHESTER,CCG
03L,03L,NHS ROTHERHAM,CCG
97R,97R,NHS EAST SUSSEX,CCG
15A,15A,NHS BERKSHIRE WEST,CCG
93C,93C,NHS NORTH CENTRAL LONDON,CCG
W2U3Z,W2U3Z,NHS NORTH WEST LONDON,CCG
15F,15F,NHS LEEDS,CCG
36J,36J,NHS BRADFORD DISTRICT AND CRAVEN,CCG
10Q,10Q,NHS OXFORDSHIRE,CCG
RQ6,RQ6,,CCG
AC0,AC0,,CCG
AXT,AXT,,CCG
99F,99F,NHS CASTLE POINT AND ROCHFORD,CCG
05W,05W,NHS STOKE ON TRENT,CCG
14M,14M,LONDON - H&J COMMISSIONING HUB,CCG
14Q,14Q,MIDLANDS - H&J COMMISSIONING HUB,CCG
14R,14R,EAST OF ENGLAND - H&J COMMISSIONING HUB,CCG
07G,07G,NHS THURROCK,CCG
92A,92A,NHS SURREY HEARTLANDS,CCG
99G,99G,NHS SOUTHEND,CCG
02X,02X,NHS DONCASTER,CCG
03R,03R,NHS WAKEFIELD,CCG
DMH,DMH,,CCG
RDD,RDD,,CCG
RKL,RKL,,CCG
R0A,R0A,,CCG
RGP,RGP,,CCG
13R,13R,LONDON COMMISSIONING HUB,CCG
14A,14A,MIDLANDS COMMISSIONING HUB,CCG
14E,14E,EAST OF ENGLAND COMMISSIONING HUB,CCG
14F,14F,SOUTH WEST COMMISSIONING HUB,CCG
14G,14G,SOUTH EAST COMMISSIONING HUB,CCG
13T,13T,NHS NEWCASTLE GATESHEAD,CCG
14T,14T,SOUTH WEST - H&J COMMISSIONING HUB,CCG
00N,00N,NHS SOUTH TYNESIDE,CCG
01G,01G,NHS SALFORD,CCG
04V,04V,NHS WEST LEICESTERSHIRE,CCG
05G,05G,NHS NORTH STAFFORDSHIRE,CCG
03H,03H,NHS NORTH EAST LINCOLNSHIRE,CCG
02T,02T,NHS CALDERDALE,CCG
06H,06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH,CCG
04C,04C,NHS LEICESTER CITY,CCG
09D,09D,NHS BRIGHTON AND HOVE,CCG
27D,27D,NHS CHESHIRE,CCG
03W,03W,NHS EAST LEICESTERSHIRE AND RUTLAND,CCG
05V,05V,NHS STAFFORD AND SURROUNDS,CCG
00V,00V,NHS BURY,CCG
00R,00R,NHS BLACKPOOL,CCG
00X,00X,NHS CHORLEY AND SOUTH RIBBLE,CCG
00P,00P,NHS SUNDERLAND,CCG
01F,01F,NHS HALTON,CCG
01D,01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE",CCG
01A,01A,NHS EAST LANCASHIRE,CCG
01T,01T,NHS SOUTH SEFTON,CCG
01V,01V,NHS SOUTHPORT AND FORMBY,CCG
02E,02E,NHS WARRINGTON,CCG
01W,01W,NHS STOCKPORT,CCG
01Y,01Y,NHS TAMESIDE AND GLOSSOP,CCG
02A,02A,NHS TRAFFORD,CCG
03K,03K,NHS NORTH LINCOLNSHIRE,CCG
02G,02G,NHS WEST LANCASHIRE,CCG
03N,03N,NHS SHEFFIELD,CCG
06K,06K,NHS EAST AND NORTH HERTFORDSHIRE,CCG
03Q,03Q,NHS VALE OF YORK,CCG
91Q,91Q,NHS KENT AND MEDWAY,CCG
52R,52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE,CCG
A3A8R,A3A8R,NHS NORTH EAST LONDON,CCG
72Q,72Q,NHS SOUTH EAST LONDON,CCG
D2P2L,D2P2L,NHS BLACK COUNTRY,CCG
07H,07H,NHS WEST ESSEX,CCG
02Q,02Q,NHS BASSETLAW,CCG
15E,15E,NHS BIRMINGHAM AND SOLIHULL,CCG
15C,15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE",CCG
00Y,00Y,NHS OLDHAM,CCG
00L,00L,NHS NORTHUMBERLAND,CCG
02Y,02Y,NHS EAST RIDING OF YORKSHIRE,CCG
14Y,14Y,NHS BUCKINGHAMSHIRE,CCG
M1J4Y,M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES",CCG
78H,78H,NHS NORTHAMPTONSHIRE,CCG
92G,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE",CCG
99E,99E,NHS BASILDON AND BRENTWOOD,CCG
06T,06T,NHS NORTH EAST ESSEX,CCG
01E,01E,NHS GREATER PRESTON,CCG
U2G6B,U2G6B,NHS THAMES VALLEY ICB - U2G6B,CCG
36L,36L,NHS SOUTH WEST LONDON,CCG
15M,15M,NHS DERBY AND DERBYSHIRE,CCG
06N,06N,NHS HERTS VALLEYS,CCG
06Q,06Q,NHS MID ESSEX,CCG
11M,11M,NHS GLOUCESTERSHIRE,CCG
18C,18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE,CCG
